coffeeStyle,timestamp
"",11/1/2013 10:12:35
Milk,11/12/2013 12:05:26
Milk,11/12/2013 12:05:26
Milk,11/12/2013 12:05:32
Milk,11/12/2013 12:05:32
"",11/12/2013 12:54:45
"",11/12/2013 12:54:45
"",11/13/2013 12:32:02
"",11/13/2013 12:32:02
"Milk, Sugar",11/15/2013 13:01:24
"Milk, Sugar",11/16/2013 16:35:29
Milk,11/18/2013 12:21:51
"",11/22/2013 12:39:01
"Milk, Sugar",11/22/2013 14:45:37
Milk,11/23/2013 20:19:46
Milk,11/23/2013 20:19:46
Milk,11/23/2013 20:19:46
Milk,11/25/2013 11:36:47
"",11/25/2013 16:08:20
"",11/25/2013 16:08:20
"",11/25/2013 16:08:20
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/25/2013 16:59:51
"Milk, Sugar",11/26/2013 20:04:55
"Milk, Sugar",11/26/2013 20:04:55
"",11/27/2013 8:27:27
"",11/27/2013 8:27:27
"",11/27/2013 8:27:27
"",11/27/2013 8:27:27
"Milk, Sugar",11/27/2013 22:00:44
"Milk, Sugar",11/27/2013 22:00:44
Milk,11/29/2013 9:13:28
Milk,11/29/2013 13:43:05
Milk,12/1/2013 11:19:45
"Milk, Sugar",12/1/2013 22:04:26
"Milk, Sugar",12/1/2013 22:04:26
"",12/1/2013 20:42:56
"Milk, Sugar",12/2/2013 14:29:44
Milk,12/3/2013 7:44:17
Milk,12/3/2013 7:44:17
Milk,12/3/2013 7:44:17
Milk,12/3/2013 7:44:17
"",12/3/2013 9:41:13
"",12/3/2013 9:41:13
"",12/3/2013 9:41:13
"",12/3/2013 9:41:13
"",12/3/2013 10:38:11
"",12/3/2013 10:38:11
"Milk, Sugar",12/3/2013 16:33:57
"",12/3/2013 18:58:17
"",12/3/2013 18:58:17
"",12/3/2013 18:58:17
"",12/3/2013 18:58:17
"Milk, Sugar",12/4/2013 11:15:12
"Milk, Sugar",12/4/2013 11:15:12
Sugar,12/4/2013 13:17:41
Sugar,12/4/2013 13:17:41
"Milk, Sugar",12/4/2013 14:05:37
"Milk, Sugar",12/5/2013 10:34:52
"Milk, Sugar",12/5/2013 10:34:52
Milk,12/5/2013 11:24:47
Milk,12/5/2013 11:24:47
Milk,12/5/2013 11:24:47
Milk,12/5/2013 13:40:48
Milk,12/5/2013 13:40:48
Sugar,12/5/2013 13:41:12
Sugar,12/5/2013 13:41:12
"Milk, Sugar",12/5/2013 13:42:01
Milk,12/5/2013 16:43:58
Milk,12/5/2013 16:43:58
Milk,12/5/2013 16:43:58
Milk,12/5/2013 16:43:58
"",12/5/2013 19:32:50
"",12/5/2013 19:32:50
"",12/5/2013 19:32:50
"",12/5/2013 19:32:50
"Milk, Sugar",12/5/2013 19:33:04
Milk,12/5/2013 19:36:41
